CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1iSis 2 XL ; Serial number 0"
DESCRIPTOR	"9800ABW_Darkest_PM"
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"UV"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2020-12-27T13:25:09"

NUMBER_OF_FIELDS	11
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	
END_DATA_FORMAT

NUMBER_OF_SETS	260
BEGIN_DATA
165	M9	  110.00	  110.00	  110.00	 0.14193	 0.13299	 0.08111	   43.21	    8.78	    9.78	
166	M10	  120.00	  120.00	  120.00	 0.17128	 0.16186	 0.10075	   47.22	    8.58	    9.78	
167	M11	   85.00	   85.00	   85.00	 0.08043	 0.07392	 0.04312	   32.68	    8.63	    9.16	
168	M12	  255.00	  255.00	  255.00	 0.83296	 0.87225	 0.74051	   94.83	   -1.53	   -1.82	
169	M13	  145.00	  145.00	  145.00	 0.25373	 0.24562	 0.15908	   56.65	    7.28	    9.72	
170	N1	  245.00	  245.00	  245.00	 0.76522	 0.79755	 0.66455	   91.57	   -0.76	   -0.60	
171	N2	   45.00	   45.00	   45.00	 0.02231	 0.02013	 0.01154	   15.56	    6.45	    6.23	
172	N3	   90.00	   90.00	   90.00	 0.09152	 0.08450	 0.04949	   34.90	    8.67	    9.48	
173	N4	  175.00	  175.00	  175.00	 0.37939	 0.37560	 0.25711	   67.69	    5.63	    8.72	
174	N5	  175.00	  175.00	  175.00	 0.37893	 0.37490	 0.25738	   67.64	    5.71	    8.58	
175	N6	   10.00	   10.00	   10.00	 0.00455	 0.00446	 0.00340	    4.03	    1.03	    0.53	
176	N7	    5.00	    5.00	    5.00	 0.00349	 0.00351	 0.00286	    3.17	    0.44	    0.06	
177	N8	  225.00	  225.00	  225.00	 0.64486	 0.66249	 0.52685	   85.12	    1.38	    2.14	
178	N9	  145.00	  145.00	  145.00	 0.25370	 0.24541	 0.15920	   56.63	    7.36	    9.65	
179	N10	   10.00	   10.00	   10.00	 0.00468	 0.00458	 0.00344	    4.14	    1.05	    0.65	
180	N11	  200.00	  200.00	  200.00	 0.50345	 0.50869	 0.37608	   76.60	    3.49	    5.74	
181	N12	   85.00	   85.00	   85.00	 0.07908	 0.07268	 0.04225	   32.41	    8.57	    9.20	
182	N13	  180.00	  180.00	  180.00	 0.40224	 0.39913	 0.27641	   69.41	    5.46	    8.36	
183	O1	  215.00	  215.00	  215.00	 0.58903	 0.60115	 0.46559	   81.90	    2.27	    3.53	
184	O2	  105.00	  105.00	  105.00	 0.12771	 0.11930	 0.07173	   41.10	    8.73	    9.86	
185	O3	  215.00	  215.00	  215.00	 0.58733	 0.59928	 0.46394	   81.80	    2.30	    3.55	
186	O4	   15.00	   15.00	   15.00	 0.00612	 0.00588	 0.00420	    5.31	    1.82	    1.23	
187	O5	  100.00	  100.00	  100.00	 0.11499	 0.10703	 0.06425	   39.08	    8.72	    9.55	
188	O6	   25.00	   25.00	   25.00	 0.01061	 0.00970	 0.00613	    8.74	    4.59	    3.49	
189	O7	   65.00	   65.00	   65.00	 0.04439	 0.04004	 0.02281	   23.69	    8.14	    7.95	
190	O8	  240.00	  240.00	  240.00	 0.72977	 0.75797	 0.62577	   89.77	   -0.22	   -0.03	
191	O9	  225.00	  225.00	  225.00	 0.64451	 0.66210	 0.52665	   85.10	    1.39	    2.12	
192	O10	   60.00	   60.00	   60.00	 0.03728	 0.03353	 0.01919	   21.40	    7.84	    7.40	
193	O11	   10.00	   10.00	   10.00	 0.00468	 0.00457	 0.00346	    4.13	    1.09	    0.60	
194	O12	   80.00	   80.00	   80.00	 0.06930	 0.06338	 0.03652	   30.25	    8.53	    9.00	
